,time,tien,tyle
0,16/08/2021,True,10
1,01/06/2021,False,20/3    
2,01/06/2021,True,10
3,17/08/2020,True,10
4,13/05/2020,False,20/3    
5,13/05/2020,True,10
6,15/08/2019,True,10
7,17/05/2019,False,10/1    
8,17/05/2019,True,10
9,16/08/2018,True,10
10,25/05/2018,False,20/3    
11,25/05/2018,True,15
12,17/08/2017,True,10
13,25/05/2017,False,20/3    
14,25/05/2017,True,10
15,22/08/2016,True,10
16,27/05/2016,False,20/3    
17,27/05/2016,True,10
18,19/08/2015,True,10
19,28/05/2015,False,20/3    
20,28/05/2015,True,10
21,20/08/2014,True,10
22,08/05/2014,False,4/1
23,07/05/2014,True,15
24,15/08/2013,True,15
25,05/12/2012,True,10
26,27/08/2012,True,10
27,17/05/2012,False,4/1
28,15/05/2012,True,10
29,27/09/2011,True,10
30,05/05/2011,True,5
31,11/08/2010,True,10
32,13/05/2010,False,3/1
33,14/12/2009,True,15
34,04/06/2009,True,10
