,time,tien,tyle
0,03/12/2021,True,15
1,27/08/2021,True,15
2,05/01/2021,True,20
3,04/01/2021,True,20
4,18/09/2020,True,15
5,24/04/2020,True,15
6,20/12/2019,True,20
7,19/04/2019,True,15
8,09/01/2019,True,20
9,05/09/2018,True,15
10,14/05/2018,True,30
11,08/01/2018,True,20
12,22/08/2017,True,20
13,04/04/2017,True,11
14,30/12/2016,True,20
15,07/06/2016,True,12
16,17/12/2015,True,20
17,08/05/2015,True,15
18,29/12/2014,True,20
19,14/05/2014,True,15
20,22/11/2013,True,20
21,08/05/2013,True,11.75
22,10/01/2013,True,20
23,10/05/2012,True,10
