,time,tien,tyle
0,23/03/2022,True,8
1,09/11/2021,True,4
2,11/06/2021,True,10     
3,22/03/2021,True,10
4,02/12/2020,True,5
5,30/09/2020,True,5
6,08/07/2020,True,10
7,31/03/2020,True,6
8,03/12/2019,True,5
9,16/09/2019,True,4
10,28/06/2019,True,7
11,29/03/2019,True,4
12,28/11/2018,True,4
13,25/09/2018,True,4
14,28/06/2018,True,6
15,29/03/2018,True,5
16,07/12/2017,True,4
17,28/09/2017,True,4
18,26/06/2017,True,8
19,20/03/2017,True,5
20,02/12/2016,True,5
21,23/09/2016,True,5      
22,03/06/2016,True,10
23,05/04/2016,True,5
24,30/11/2015,True,5
25,14/09/2015,True,5
26,06/07/2015,True,10     
27,27/03/2015,True,5
28,01/12/2014,True,5
29,11/09/2014,True,5
30,12/06/2014,True,10
31,02/04/2014,True,4
32,26/11/2013,True,6
33,30/08/2013,True,7
34,30/05/2013,True,8
35,27/03/2013,True,6
36,30/11/2012,True,5
37,26/09/2012,True,4
38,26/06/2012,True,4
39,02/05/2012,True,5
40,14/12/2011,True,3
41,21/10/2011,True,3
42,28/04/2011,True,4.5
43,27/12/2010,True,3
44,22/09/2010,True,3
45,24/05/2010,True,3
