,time,tien,tyle
0,24/11/2021,False,100/3.616
1,24/11/2021,True,6.19   
2,18/05/2021,True,4.38
3,14/12/2020,True,4.53
4,24/09/2020,False,100/9.57
5,05/06/2020,True,4.79
6,11/12/2019,True,4.78
7,04/09/2019,False,100/8.23
8,10/06/2019,True,2.92
9,04/12/2018,True,1.97
10,06/06/2018,False,100/11.25
11,06/06/2018,True,1.89
12,13/10/2017,True,2.25
13,28/06/2017,False,1000/99.6
14,28/06/2017,True,2.49
15,08/12/2016,True, 2.49
16,23/03/2016,True,4.73
17,21/08/2015,True,1.89
18,22/05/2015,True,2.71
19,21/03/2014,True,2.58
