,time,tien,tyle
0,24/09/2021,True,5
1,25/03/2020,True,10
2,06/09/2018,True,15
3,29/03/2018,True,15
4,18/01/2018,True,15
5,30/05/2017,True,10
6,10/04/2017,True,15
7,07/12/2016,True,15
8,10/06/2016,False,10/1    
9,10/06/2016,True,10
10,03/08/2015,True,15
11,29/05/2015,True,5
12,13/01/2015,False,100/20
13,23/04/2014,True,10
14,24/10/2013,True,10
15,10/06/2013,True,5
16,19/02/2013,True,5
17,22/08/2012,True,5
18,27/02/2012,True,5
19,27/12/2011,True,10
20,12/07/2011,True,12
21,22/09/2010,True,10
22,02/12/2009,True,4
