,time,tien,tyle
0,05/08/2021,True,10
1,12/05/2021,True,8
2,14/12/2020,True,9
3,27/07/2020,True,8
4,08/05/2020,True,16
5,02/01/2020,True,5
6,09/08/2019,True,11
7,20/05/2019,True,9
8,05/04/2019,True,10
9,10/09/2018,True,10
10,11/05/2018,True,15
11,30/11/2017,True,16
12,16/10/2017,True,10
13,07/09/2017,True,15
14,19/12/2016,True,10
15,17/06/2016,True,10
16,04/01/2016,True,10
17,18/05/2015,True,11
18,26/01/2015,True,6
19,07/05/2013,True,15
20,27/11/2012,True,11
21,20/08/2012,True,15
22,13/02/2012,True,9
23,08/08/2011,True,10
24,10/11/2010,True,6
25,23/02/2010,True,6.25
26,27/08/2009,True,2.5
