,time,tien,tyle
0,16/11/2021,True,20
1,16/09/2021,True,20
2,09/11/2020,True,20
3,10/08/2020,True,10
4,03/06/2020,True,20
5,17/12/2019,True,20
6,02/05/2019,True,15
7,13/12/2018,True,15
8,06/08/2018,True,20
9,14/06/2018,False,10/1
10,16/05/2018,True,20
11,30/11/2017,True,20
12,07/08/2017,True,20
13,10/05/2017,True,25
14,16/12/2016,True,15
15,24/10/2016,True,20
16,31/08/2016,False,100/10
17,18/03/2016,True,10
18,18/12/2015,True,15
19,11/08/2015,True,15
20,10/06/2015,False,100/15  
21,14/01/2015,True,10
22,15/10/2014,True,10
23,14/05/2014,True,7
24,26/11/2013,True,8
25,13/09/2013,True,10
26,12/12/2012,True,10
27,11/06/2012,True,10
28,23/02/2012,True,10
29,29/06/2011,True,10
30,05/05/2011,True,10
31,26/11/2010,True,10
