,time,tien,tyle
0,29/06/2020,True,12
1,16/04/2019,True,12
2,26/03/2018,True,15
3,22/08/2017,True,10
4,01/11/2016,True,10
5,01/06/2016,True,10
6,18/08/2015,True,10
7,27/04/2015,True,5      
8,05/01/2015,True,5
9,06/08/2014,True,10
10,12/05/2014,True,10
11,10/03/2014,True,10
12,03/07/2013,True,10
13,16/04/2013,True,10
14,14/12/2012,True,10
15,14/06/2012,True,10
16,17/05/2012,True,5
17,28/12/2011,True,10
18,13/06/2011,True,10
19,11/02/2011,True,10
20,27/07/2010,True,10
21,13/04/2010,True,5
22,23/12/2009,True,7
