,time,tien,tyle
0,02/03/2022,False,100/20
1,02/12/2021,True,10
2,01/09/2021,False,100/15  
3,03/12/2020,True,10
4,29/05/2020,True,15
5,21/11/2019,True,15
6,30/05/2019,True,10
7,05/04/2019,True,10
8,05/12/2018,False,100/15
9,23/11/2018,True,10
10,07/06/2018,True,10
11,26/12/2017,True,10
12,14/09/2017,False,100/40
13,04/04/2017,True,10
14,05/12/2016,True,20
15,28/06/2016,False,100/30  
16,28/06/2016,True,20     
17,11/11/2015,True,20
18,10/06/2015,False,100/50
19,18/12/2014,True,20
20,16/05/2014,True,20
21,10/02/2014,False,100/15
22,06/11/2013,True,12
23,02/01/2013,False,100/12
24,27/11/2012,True,8
25,16/08/2012,True,10
26,08/02/2012,True,3
27,18/11/2011,True,10
28,17/08/2011,True,10
29,22/02/2011,True,10
30,29/10/2010,True,10
