,time,tien,tyle
0,07/05/2021,True,10
1,03/11/2020,True,15
2,25/06/2020,False,100/20
3,04/06/2020,True,10
4,03/01/2020,True,10
5,31/12/2019,True,10
6,29/07/2019,True,10
7,29/05/2018,True,15
8,07/11/2017,True,15
9,01/06/2017,False,10/2    
10,01/06/2017,True,10
11,05/12/2016,True,15
12,23/05/2016,True,10     
13,05/01/2016,True,15
14,26/05/2015,True,5      
15,02/02/2015,True,10
16,28/05/2014,True,15     
17,05/12/2013,True,15
18,07/06/2013,True,20
19,14/12/2012,True,10
20,05/09/2012,True,10
21,20/12/2011,True,10
22,10/06/2011,True,10
23,07/09/2010,True,20
24,30/11/2009,True,18
25,08/05/2009,True,18
