,time,tien,tyle
0,07/05/2021,True,40
1,14/07/2020,True,10
2,11/05/2020,True,30
3,02/07/2019,True,5
4,13/03/2019,True,20
5,30/07/2018,True,10
6,18/04/2018,True,5
7,28/12/2017,True,15
8,18/09/2017,True,10
9,04/05/2017,True,35
10,17/05/2016,True,35
11,08/05/2015,True,30
12,18/07/2014,True,15
13,15/08/2013,True,15
14,15/05/2013,True,10
15,02/04/2013,True,10
16,05/11/2012,True,10
17,08/06/2012,True,10
18,17/11/2011,True,10
19,25/08/2011,True,30
20,21/05/2010,True,5
21,24/03/2010,True,10
22,04/09/2009,True,15
