,time,tien,tyle
0,25/08/2021,True,6
1,28/08/2020,True,6
2,25/12/2019,True,2
3,27/12/2018,True,4
4,30/07/2018,True,6
5,25/05/2017,True,4
6,14/11/2016,True,4
7,11/05/2016,True,5
8,23/09/2015,True,3
