,time,tien,tyle
0,20/10/2021,True,5
1,27/10/2020,True,15
2,03/09/2020,True,12
3,28/08/2019,True,8
4,03/06/2019,False,100/10  
5,03/06/2019,True,15
6,27/08/2018,True,10
7,08/05/2018,True,10
8,21/12/2017,False,100/10  
9,21/12/2017,True,20
10,20/10/2016,True,10
11,03/06/2016,False,100/10  
12,03/06/2016,True,10
13,10/09/2015,True,10
14,05/06/2015,False,5/1     
15,05/06/2015,True,5
16,04/12/2014,True,10
17,20/06/2014,True,5
18,26/08/2013,True,15
19,01/07/2013,False,10/2
20,23/04/2013,True,20
21,18/12/2012,True,20
22,29/12/2011,True,20
23,29/08/2011,True,20
24,20/08/2010,True,20
25,23/02/2010,True,10
26,08/06/2009,True,20
27,17/12/2008,True,30
28,06/08/2008,True,20
29,05/06/2008,False,10/2
