,time,tien,tyle
0,28/06/2021,True,30
1,14/07/2020,True,35
2,29/08/2019,True,23
3,15/03/2019,True,20
4,27/08/2018,True,20
5,28/06/2018,True,20
6,20/11/2017,True,10
7,15/09/2017,True,10
8,28/06/2017,True,10
9,10/04/2017,True,7
10,22/12/2016,True,23
11,30/09/2016,True,5
12,17/03/2016,True,20
13,01/10/2015,True,10
14,27/05/2015,True,7
15,15/12/2014,True,18
16,22/09/2014,True,15
17,12/05/2014,True,22
18,21/10/2013,True,10
19,13/08/2013,True,10
20,15/05/2013,True,10
21,04/12/2012,True,10
22,31/08/2012,True,10
