,time,tien,tyle
0,18/03/2022,True,14
1,04/11/2021,True,10
2,19/03/2021,True,14
3,05/10/2020,True,10
4,12/05/2020,True,14
5,02/08/2019,True,10
6,21/03/2019,True,14
7,14/08/2018,True,10
8,22/03/2018,True,14
9,08/08/2017,True,10
10,22/03/2017,True,14
11,09/08/2016,True,10
12,22/03/2016,True,14
13,04/08/2015,True,10
14,26/01/2015,True,14
15,23/05/2014,True,10
16,11/03/2014,True,14
17,30/05/2013,True,10
18,06/11/2012,True,14
19,16/05/2012,True,16
20,13/03/2012,True,8
21,28/06/2011,True,10
22,28/05/2010,True,7
23,07/01/2010,True,5
24,06/11/2009,True,2.4
