,time,tien,tyle
0,03/06/2021,True,10
1,17/06/2020,True,7
2,16/01/2019,False,100/12
3,22/06/2017,True,15
4,17/06/2016,True,10
5,16/07/2015,True,2.5
6,16/06/2014,True,2
7,28/05/2013,True,1.1
8,22/06/2011,True,4
9,27/04/2010,True,6
10,11/05/2009,True,6
