,time,tien,tyle
0,16/03/2022,True,10
1,01/12/2021,True,35
2,24/03/2021,True,10
3,26/08/2020,True,30
4,26/03/2020,True,10
5,26/08/2019,True,25
6,25/03/2019,True,10
7,24/08/2018,True,25
8,26/03/2018,True,10
9,25/08/2017,True,20
10,13/03/2017,True,10
11,25/08/2016,True,30
12,10/03/2016,True,10
13,17/07/2015,True,10     
14,25/03/2015,True,10
15,03/09/2014,True,10
16,26/03/2014,True,10
17,12/09/2013,True,10
18,21/03/2013,True,10
19,12/10/2012,True,15
20,16/08/2012,True,10
21,10/01/2012,False,100/15
22,25/08/2010,True,10
23,18/05/2010,True,10
24,17/11/2009,True,10
