date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile
04/04/2022,,,0,2.20,2.20,2.20,0.00 (0.00 %),,0,2.20,2.20,0,0
01/04/2022,,,0,2.3,2.2,2.4,0.10 (4.35 %),,939820000,2.4,2.4,417800,0
31/03/2022,,,0,2.3,2.3,2.3,0.00 (0.00 %),,0,2.3,2.3,0,0
30/03/2022,,,0,2.3,2.3,2.3,0.00 (0.00 %),,0,2.3,2.3,0,0
29/03/2022,,,0,2.3,2.3,2.3,0.00 (0.00 %),,0,2.3,2.3,0,0
28/03/2022,,,0,2.3,2.3,2.3,0.00 (0.00 %),,0,2.3,2.3,0,0
25/03/2022,,,0,2.4,2.4,2.3,-0.10 (-4.17 %),,643184000,2.3,2.3,281310,0
24/03/2022,,,0,2.4,2.4,2.4,0.00 (0.00 %),,0,2.4,2.4,0,0
23/03/2022,,,0,2.4,2.4,2.4,0.00 (0.00 %),,0,2.4,2.4,0,0
22/03/2022,,,0,2.4,2.4,2.4,0.00 (0.00 %),,0,2.4,2.4,0,0
21/03/2022,,,0,2.4,2.4,2.4,0.00 (0.00 %),,0,2.4,2.4,0,0
18/03/2022,,,0,2.5,2.7,2.3,-0.20 (-8.00 %),,1221637900,2.3,2.3,515025,0
17/03/2022,,,0,2.5,2.5,2.5,0.00 (0.00 %),,0,2.5,2.5,0,0
16/03/2022,,,0,2.5,2.5,2.5,0.00 (0.00 %),,0,2.5,2.5,0,0
15/03/2022,,,0,2.5,2.5,2.5,0.00 (0.00 %),,0,2.5,2.5,0,0
14/03/2022,,,0,2.5,2.5,2.5,0.00 (0.00 %),,0,2.5,2.5,0,0
11/03/2022,,,0,2.2,2.4,2.5,0.30 (13.64 %),,1134797500,2.5,2.5,455651,0
10/03/2022,,,0,2.2,2.2,2.2,0.00 (0.00 %),,0,2.2,2.2,0,0
09/03/2022,,,0,2.2,2.2,2.2,0.00 (0.00 %),,0,2.2,2.2,0,0
08/03/2022,,,0,2.2,2.2,2.2,0.00 (0.00 %),,0,2.2,2.2,0,0
07/03/2022,,,0,2.2,2.2,2.2,0.00 (0.00 %),,0,2.2,2.2,0,0
04/03/2022,,,0,2.0,2.0,2.3,0.30 (15.00 %),,765205800,2.3,2.3,345539,0
03/03/2022,,,0,2.0,2.0,2.0,0.00 (0.00 %),,0,2.0,2.0,0,0
02/03/2022,,,0,2.0,2.0,2.0,0.00 (0.00 %),,0,2.0,2.0,0,0
01/03/2022,,,0,2.0,2.0,2.0,0.00 (0.00 %),,0,2.0,2.0,0,0
28/02/2022,,,0,2.0,2.0,2.0,0.00 (0.00 %),,0,2.0,2.0,0,0
25/02/2022,,,0,2.1,2.0,2.0,-0.10 (-4.76 %),,596102200,2.0,2.0,302540,0
24/02/2022,,,0,2.1,2.1,2.1,0.00 (0.00 %),,0,2.1,2.1,0,0
23/02/2022,,,0,2.1,2.1,2.1,0.00 (0.00 %),,0,2.1,2.1,0,0
22/02/2022,,,0,2.1,2.1,2.1,0.00 (0.00 %),,0,2.1,2.1,0,0
21/02/2022,,,0,2.1,2.1,2.1,0.00 (0.00 %),,0,2.1,2.1,0,0
18/02/2022,,,0,2.3,2.0,2.1,-0.20 (-8.70 %),,1258810000,2.1,2.1,602000,0
17/02/2022,,,0,2.3,2.3,2.3,0.00 (0.00 %),,0,2.3,2.3,0,0
16/02/2022,,,0,2.3,2.3,2.3,0.00 (0.00 %),,0,2.3,2.3,0,0
15/02/2022,,,0,2.3,2.3,2.3,0.00 (0.00 %),,0,2.3,2.3,0,0
14/02/2022,,,0,2.3,2.3,2.3,0.00 (0.00 %),,0,2.3,2.3,0,0
11/02/2022,,,0,2.6,2.3,2.3,-0.30 (-11.54 %),,242420000,2.3,2.3,105400,0
10/02/2022,,,0,2.6,2.6,2.6,0.00 (0.00 %),,0,2.6,2.6,0,0
09/02/2022,,,0,2.6,2.6,2.6,0.00 (0.00 %),,0,2.6,2.6,0,0
08/02/2022,,,0,2.6,2.6,2.6,0.00 (0.00 %),,0,2.6,2.6,0,0
07/02/2022,,,0,2.6,2.6,2.6,0.00 (0.00 %),,0,2.6,2.6,0,0
28/01/2022,,,0,3.0,2.6,2.6,-0.40 (-13.33 %),,73580000,2.6,2.6,28300,0
27/01/2022,,,0,3.0,3.0,3.0,0.00 (0.00 %),,0,3.0,3.0,0,0
26/01/2022,,,0,3.0,3.0,3.0,0.00 (0.00 %),,0,3.0,3.0,0,0
25/01/2022,,,0,3.0,3.0,3.0,0.00 (0.00 %),,0,3.0,3.0,0,0
24/01/2022,,,0,3.0,3.0,3.0,0.00 (0.00 %),,0,3.0,3.0,0,0
21/01/2022,,,0,3.4,3.4,2.9,-0.50 (-14.71 %),,1059430000,2.9,2.9,355600,0
20/01/2022,,,0,3.4,3.4,3.4,0.00 (0.00 %),,0,3.4,3.4,0,0
