date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile
04/04/2022,,,0,44.60,44.60,44.70,0.10 (0.22 %),,13668790000,44.70,44.70,305900,0
01/04/2022,,,0,44.60,44.6,44.80,0.20 (0.45 %),,13439840000,44.80,44.80,301300,0
31/03/2022,,,0,45.30,45.30,45.10,-0.20 (-0.44 %),,12472860000,44.64,44.60,276300,0
30/03/2022,,,0,45.7,45.7,44.7,-1.00 (-2.19 %),,11299990000,44.7,44.7,249500,0
29/03/2022,,,11000000000,45.4,45.4,45.8,0.40 (0.88 %),,14855430000,45.8,45.8,325400,220000
28/03/2022,,,0,46.0,45.9,45.5,-0.50 (-1.09 %),,14242570000,45.5,45.5,313900,0
25/03/2022,,,0,46.4,46.4,45.5,-0.90 (-1.94 %),,13167430000,45.5,45.5,286000,0
24/03/2022,,,28800000000,46.1,46.1,46.3,0.20 (0.43 %),,17371880000,46.3,46.3,374400,620000
23/03/2022,,,75000000000,46.5,46.5,46.0,-0.50 (-1.08 %),,21337670000,46.0,46.0,462800,1500000
22/03/2022,,,0,46.1,46.1,47.0,0.90 (1.95 %),,27982050000,47.0,47.0,601200,0
21/03/2022,,,0,45.6,45.6,46.3,0.70 (1.54 %),,24258650000,46.3,46.3,526300,0
18/03/2022,,,67528800000,46.3,46.2,46.1,-0.20 (-0.43 %),,15089800000,46.1,46.1,331100,1688220
17/03/2022,,,0,45.7,45.7,46.0,0.30 (0.66 %),,17059290000,46.0,46.0,368700,0
16/03/2022,,,40000000000,45.3,45.3,46.1,0.80 (1.77 %),,14529130000,46.1,46.1,317900,1000000
15/03/2022,,,0,45.2,45.2,45.5,0.30 (0.66 %),,19864650000,45.5,45.5,438700,0
14/03/2022,,,0,46.0,46.0,45.0,-1.00 (-2.17 %),,15692210000,45.0,45.0,347300,0
11/03/2022,,,0,46.8,46.7,45.6,-1.20 (-2.56 %),,14998480000,45.6,45.6,325900,0
10/03/2022,,,0,46.5,46.6,46.2,-0.30 (-0.65 %),,14958330000,46.2,46.2,319800,0
09/03/2022,,,0,47.2,47.0,46.6,-0.60 (-1.27 %),,15538480000,46.6,46.6,333900,0
08/03/2022,,,0,46.8,46.5,47.1,0.30 (0.64 %),,14839220000,47.1,47.1,314300,0
07/03/2022,,,0,46.8,46.8,47.3,0.50 (1.07 %),,15105280000,47.3,47.3,323100,0
04/03/2022,,,0,45.6,45.6,46.9,1.30 (2.85 %),,16349320000,46.9,46.9,349500,0
03/03/2022,,,0,45.3,45.3,46.1,0.80 (1.77 %),,16259080000,46.1,46.1,356800,0
02/03/2022,,,0,45.9,45.9,45.0,-0.90 (-1.96 %),,14188520000,45.0,45.0,313300,0
