,date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile
2,31/03/2022,,,30.00,31.00,30.00,30.90,,17300,0,30.90,-0.10 (-0.32 %),531000000,0
3,30/03/2022,,,31.65,31.65,30.50,31.00,,17800,0,31.00,-0.70 (-2.21 %),551000000,0
4,29/03/2022,,,30.25,31.95,30.25,31.65,,26700,0,31.65,-0.35 (-1.09 %),826000000,0
5,28/03/2022,,,32.00,34.00,31.95,31.95,,89900,0,31.95,-2.45 (-7.12 %),2878000000,0
6,25/03/2022,,,36.90,36.90,34.35,34.35,,27800,0,34.35,-2.55 (-6.91 %),977000000,0
7,24/03/2022,,,35.70,37.40,35.70,36.90,,44000,0,36.90,1.90 (5.43 %),1604000000,0
8,23/03/2022,,,42.00,43.80,41.50,43.80,,176100,0,35.04,2.20 (5.29 %),7456000000,0
9,22/03/2022,,,41.45,41.60,39.80,41.60,,139000,0,33.28,1.80 (4.52 %),5676000000,0
10,21/03/2022,,,37.90,39.80,37.80,39.80,,139100,0,31.84,1.80 (4.74 %),5370000000,0
11,18/03/2022,,,38.00,38.00,37.70,38.00,,94100,0,30.40,0.00 (0.00 %),3565000000,0
12,17/03/2022,,,36.90,38.00,36.60,38.00,,93800,0,30.40,1.10 (2.98 %),3475000000,0
13,16/03/2022,,,37.35,37.35,35.80,36.90,,84400,0,29.52,1.00 (2.79 %),3067000000,0
14,15/03/2022,,,35.00,36.00,34.70,35.90,,92000,0,28.72,1.00 (2.87 %),3253000000,0
15,14/03/2022,,,34.90,35.20,33.80,34.85,,140600,0,27.88,1.05 (3.11 %),4876000000,0
16,11/03/2022,,,33.50,34.50,33.40,33.80,,101500,0,27.04,0.40 (1.20 %),3437000000,0
17,10/03/2022,,,31.80,33.40,31.80,33.40,,118700,0,26.72,1.60 (5.03 %),3913000000,0
18,09/03/2022,,,32.30,32.30,31.50,31.80,,117500,0,25.44,-0.10 (-0.31 %),3732000000,0
19,08/03/2022,,,33.00,33.40,31.90,31.90,,42200,0,25.52,-0.90 (-2.74 %),1387000000,0
20,07/03/2022,,,31.70,33.80,31.70,32.80,,43600,0,26.24,0.30 (0.92 %),1436000000,0
21,04/03/2022,,,30.40,33.15,30.40,32.50,,483900,0,26.00,1.50 (4.84 %),15815000000,0
2,03/03/2022,,,31.10,31.10,30.80,31.00,,8300,0,24.80,-0.20 (-0.64 %),256000000,0
3,02/03/2022,,,31.30,31.50,30.40,31.20,,31500,0,24.96,0.20 (0.65 %),975000000,0
4,01/03/2022,,,30.70,31.10,30.55,31.00,,37500,0,24.80,0.30 (0.98 %),1160000000,0
5,28/02/2022,,,30.00,30.70,30.00,30.70,,22000,0,24.56,0.50 (1.66 %),670000000,0
6,25/02/2022,,,30.20,30.40,29.70,30.20,,24900,0,24.16,0.00 (0.00 %),750000000,0
7,24/02/2022,,,30.20,30.50,29.90,30.20,,21300,0,24.16,0.20 (0.67 %),641000000,0
8,23/02/2022,,,30.00,30.20,29.80,30.00,,2800,0,24.00,0.00 (0.00 %),84000000,0
9,22/02/2022,,,30.85,30.85,28.70,30.00,,8600,0,24.00,-0.60 (-1.96 %),258000000,0
10,21/02/2022,,,30.80,30.80,29.65,30.55,,19700,0,24.44,-0.05 (-0.16 %),598000000,0
11,18/02/2022,,,30.00,31.10,29.70,30.60,,51000,0,24.48,0.60 (2.00 %),1556000000,0
12,17/02/2022,,,30.00,30.20,29.70,30.00,,14000,0,24.00,0.00 (0.00 %),420000000,0
13,16/02/2022,,,29.60,30.00,29.60,30.00,,35900,0,24.00,0.40 (1.35 %),1067000000,0
14,15/02/2022,,,29.15,30.00,29.15,29.60,,24700,0,23.68,-0.30 (-1.00 %),736000000,0
15,14/02/2022,,,30.00,30.00,29.25,29.90,,9500,0,23.92,-0.10 (-0.33 %),282000000,0
16,11/02/2022,,,29.50,30.00,29.20,29.95,,11400,0,23.96,0.35 (1.18 %),339000000,0
17,10/02/2022,,,29.50,29.70,29.00,29.60,,57000,0,23.68,0.60 (2.07 %),1673000000,0
18,09/02/2022,,,28.90,29.50,28.65,29.00,,9100,0,23.20,-1.00 (-3.33 %),264000000,0
19,08/02/2022,,,28.10,30.00,28.10,30.00,,8200,0,24.00,1.00 (3.45 %),238000000,0
20,07/02/2022,,,29.50,29.85,28.70,29.00,,4900,0,23.20,-0.50 (-1.69 %),142000000,0
21,28/01/2022,,,28.50,29.50,28.50,29.50,,14600,0,23.60,1.30 (4.61 %),419000000,0
2,27/01/2022,,,27.90,29.00,27.90,28.15,,3000,0,22.52,-0.45 (-1.57 %),85000000,0
3,26/01/2022,,,27.05,29.15,27.05,28.60,,36000,0,22.88,0.30 (1.06 %),1038000000,0
4,25/01/2022,,,28.00,28.90,26.35,28.30,,11100,0,22.64,0.00 (0.00 %),306000000,0
5,24/01/2022,,,28.50,28.50,28.20,28.30,,23500,0,22.64,-0.20 (-0.70 %),665000000,0
6,21/01/2022,,,28.20,28.90,28.00,28.50,,8100,0,22.80,0.30 (1.06 %),228000000,0
7,20/01/2022,,,28.00,28.10,28.00,28.10,,6800,0,22.48,-0.40 (-1.40 %),190000000,0
8,19/01/2022,,,28.00,28.20,28.00,28.00,,8400,0,22.40,-0.70 (-2.44 %),235000000,0
9,18/01/2022,,,28.90,28.90,28.50,28.70,,21500,0,22.96,-0.20 (-0.69 %),617000000,0
10,17/01/2022,,,29.20,29.20,28.60,28.90,,19900,0,23.12,-0.10 (-0.34 %),575000000,0
11,14/01/2022,,,29.00,29.00,28.95,29.00,,5000,0,23.20,-0.10 (-0.34 %),144000000,0
12,13/01/2022,,,29.05,29.10,29.05,29.05,,11900,0,23.24,-0.05 (-0.17 %),345000000,0
13,12/01/2022,,,29.10,29.10,28.30,29.05,,14700,0,23.24,-0.05 (-0.17 %),423000000,0
14,11/01/2022,,,29.30,29.40,28.95,29.10,,16700,0,23.28,-0.20 (-0.68 %),488000000,0
15,10/01/2022,,,29.30,29.30,29.10,29.30,,7300,0,23.44,0.10 (0.34 %),213000000,0
16,07/01/2022,,,29.60,29.60,29.10,29.20,,7500,0,23.36,-0.30 (-1.02 %),220000000,0
17,06/01/2022,,,29.20,29.50,29.00,29.50,,40100,0,23.60,0.30 (1.03 %),1168000000,0
18,05/01/2022,,,29.20,29.50,29.10,29.20,,16000,0,23.36,0.00 (0.00 %),467000000,0
19,04/01/2022,,,29.20,29.60,29.15,29.20,,11100,0,23.36,0.00 (0.00 %),324000000,0
20,31/12/2021,,,29.15,29.60,29.10,29.15,,10200,0,23.32,-0.05 (-0.17 %),299000000,0
21,30/12/2021,,,29.00,29.20,29.00,29.15,,9600,0,23.32,0.05 (0.17 %),279000000,0
2,29/12/2021,,,29.20,29.20,28.90,29.10,,10600,0,23.28,-0.10 (-0.34 %),308000000,0
3,28/12/2021,,,29.00,29.30,29.00,29.20,,4300,0,23.36,0.00 (0.00 %),125000000,0
4,27/12/2021,,,29.00,29.50,29.00,29.20,,13100,0,23.36,0.00 (0.00 %),380000000,0
5,24/12/2021,,,28.50,29.95,27.60,29.20,,15200,0,23.36,0.00 (0.00 %),443000000,0
6,23/12/2021,,,29.50,29.50,28.50,29.20,,16400,0,23.36,-0.40 (-1.35 %),475000000,0
7,22/12/2021,,,29.60,29.60,29.00,29.60,,12000,0,23.68,-0.10 (-0.34 %),350000000,0
8,21/12/2021,,,29.60,29.75,29.40,29.70,,39600,0,23.76,0.10 (0.34 %),1171000000,0
9,20/12/2021,,,30.00,30.00,29.30,29.60,,21300,0,23.68,0.10 (0.34 %),628000000,0
10,17/12/2021,,,30.40,30.40,28.95,29.50,,64500,0,23.60,-0.50 (-1.67 %),1889000000,0
11,16/12/2021,,,30.00,30.30,30.00,30.00,,13900,0,24.00,-0.40 (-1.32 %),418000000,0
12,15/12/2021,,,30.40,30.40,30.20,30.40,,12400,0,24.32,0.00 (0.00 %),375000000,0
