date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile
04/04/2022,,,0,19.80,19.80,19.70,-0.10 (-0.51 %),,100840000,19.70,19.70,5100,0
01/04/2022,,,0,20.1,20.1,19.5,-0.60 (-2.99 %),,81160000,19.5,19.5,4100,0
31/03/2022,,,0,20.2,20.2,20.0,-0.20 (-0.99 %),,42683000,20.0,20.0,2131,0
30/03/2022,,,0,20.4,20.4,20.1,-0.30 (-1.47 %),,52610000,20.1,20.1,2600,0
29/03/2022,,,0,20.6,20.6,20.6,0.00 (0.00 %),,67320000,20.6,20.6,3300,0
28/03/2022,,,0,21.4,20.5,20.6,-0.80 (-3.74 %),,31014800,20.6,20.6,1508,0
25/03/2022,,,0,21.4,21.4,21.5,0.10 (0.47 %),,55681400,21.5,21.5,2601,0
24/03/2022,,,0,20.6,21.0,21.5,0.90 (4.37 %),,189093800,21.5,21.5,8831,0
23/03/2022,,,0,20.7,20.7,21.0,0.30 (1.45 %),,459890000,21.0,21.0,22300,0
22/03/2022,,,0,20.7,20.7,20.7,0.00 (0.00 %),,51840000,20.7,20.7,2500,0
21/03/2022,,,0,20.7,20.7,20.7,0.00 (0.00 %),,99370000,20.7,20.7,4800,0
18/03/2022,,,0,20.9,20.9,20.8,-0.10 (-0.48 %),,111697200,20.8,20.8,5408,0
17/03/2022,,,0,21.0,21.0,20.8,-0.20 (-0.95 %),,58560000,20.8,20.8,2800,0
16/03/2022,,,0,21.3,21.3,21.0,-0.30 (-1.41 %),,62900000,21.0,21.0,3000,0
15/03/2022,,,594000000,21.5,21.5,21.0,-0.50 (-2.33 %),,72856000,21.0,21.0,3423,27000
14/03/2022,,,0,22.3,22.2,22.0,-0.30 (-1.35 %),,33166400,22.0,22.0,1539,0
11/03/2022,,,0,20.7,20.7,23.0,2.30 (11.11 %),,287639600,23.0,23.0,12912,0
10/03/2022,,,352230000,20.8,20.8,20.8,0.00 (0.00 %),,41450000,20.8,20.8,2000,19900
09/03/2022,,,0,21.5,21.0,20.6,-0.90 (-4.19 %),,85230000,20.6,20.6,4100,0
08/03/2022,,,0,21.8,21.5,21.3,-0.50 (-2.29 %),,81928000,21.3,21.3,3812,0
07/03/2022,,,0,21.3,21.3,21.0,-0.30 (-1.41 %),,432244000,21.0,21.0,19812,0
04/03/2022,,,0,21.7,21.7,21.5,-0.20 (-0.92 %),,228978000,21.5,21.5,10738,0
03/03/2022,,,0,21.8,21.8,21.5,-0.30 (-1.38 %),,125670000,21.5,21.5,5800,0
02/03/2022,,,0,22.1,22.0,21.5,-0.60 (-2.71 %),,85350000,21.5,21.5,3910,0
01/03/2022,,,0,22.1,22.0,22.0,-0.10 (-0.45 %),,88562000,22.0,22.0,4001,0
28/02/2022,,,0,21.9,21.9,21.9,0.00 (0.00 %),,82070000,21.9,21.9,3710,0
25/02/2022,,,0,21.8,21.8,22.0,0.20 (0.92 %),,83100000,22.0,22.0,3800,0
24/02/2022,,,0,22.4,22.0,21.5,-0.90 (-4.02 %),,85060000,21.5,21.5,3900,0
23/02/2022,,,0,22.2,22.2,22.6,0.40 (1.80 %),,134290000,22.6,22.6,6000,0
22/02/2022,,,0,22.2,22.4,22.0,-0.20 (-0.90 %),,293560000,22.0,22.0,13200,0
21/02/2022,,,0,22.7,22.5,22.5,-0.20 (-0.88 %),,219980000,22.5,22.5,9900,0
18/02/2022,,,0,22.6,23.0,22.7,0.10 (0.44 %),,65430600,22.7,22.7,2890,0
17/02/2022,,,0,22.0,22.0,23.0,1.00 (4.55 %),,359567000,23.0,23.0,15917,0
16/02/2022,,,0,21.6,21.6,22.6,1.00 (4.63 %),,136412400,22.6,22.6,6214,0
15/02/2022,,,0,21.6,21.6,21.8,0.20 (0.93 %),,262365100,21.8,21.8,12129,0
14/02/2022,,,0,22.1,22.0,21.6,-0.50 (-2.26 %),,238725300,21.6,21.6,11057,0
11/02/2022,,,0,21.9,21.9,21.9,0.00 (0.00 %),,125700000,21.9,21.9,5700,0
10/02/2022,,,0,21.6,21.6,22.2,0.60 (2.78 %),,423691200,22.2,22.2,19327,0
09/02/2022,,,0,23.4,23.8,22.3,-1.10 (-4.70 %),,527990000,22.3,22.3,24500,0
08/02/2022,,,0,24.7,25.6,23.8,-0.90 (-3.64 %),,113032700,23.8,23.8,4824,0
07/02/2022,,,0,21.9,22.0,25.0,3.10 (14.16 %),,196582500,25.0,25.0,7957,0
28/01/2022,,,0,22.7,23.0,22.7,0.00 (0.00 %),,673810000,22.7,22.7,30800,0
27/01/2022,,,0,22.8,21.5,23.1,0.30 (1.32 %),,324234000,23.1,23.1,14276,0
26/01/2022,,,0,20.0,22.0,23.0,3.00 (15.00 %),,423539700,23.0,23.0,18590,0
25/01/2022,,,0,21.5,18.3,22.0,0.50 (2.33 %),,1290686000,22.0,22.0,64510,0
24/01/2022,,,0,25.2,21.5,21.5,-3.70 (-14.68 %),,276877000,21.5,21.5,12878,0
21/01/2022,,,0,29.6,25.2,25.2,-4.40 (-14.86 %),,456120000,25.2,25.2,18100,0
20/01/2022,,,0,34.8,29.6,29.6,-5.20 (-14.94 %),,177600000,29.6,29.6,6000,0
19/01/2022,,,0,34.6,39.0,29.5,-5.10 (-14.74 %),,2664260000,29.5,29.5,76600,0
18/01/2022,,,0,30.1,34.6,34.6,4.50 (14.95 %),,1826880000,34.6,34.6,52800,0
14/01/2022,,,0,23.0,26.4,26.4,3.40 (14.78 %),,3183880000,26.4,26.4,120700,0
