date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile
04/04/2022,,,0,56.70,56.60,57.80,1.10 (1.94 %),,5993510000,57.80,57.80,105900,0
01/04/2022,,,0,56.0,56.5,56.8,0.80 (1.43 %),,2585220000,56.8,56.8,45600,0
31/03/2022,,,0,56.3,56.3,56.0,-0.30 (-0.53 %),,3672940000,56.0,56.0,65600,0
30/03/2022,,,0,56.4,56.5,56.4,0.00 (0.00 %),,4820370000,56.4,56.4,85600,0
29/03/2022,,,0,56.6,56.4,56.0,-0.60 (-1.06 %),,3160730000,56.0,56.0,56000,0
28/03/2022,,,0,56.7,57.0,56.3,-0.40 (-0.71 %),,3419900000,56.3,56.3,60400,0
25/03/2022,,,0,57.0,56.6,56.6,-0.40 (-0.70 %),,4280580000,56.6,56.6,75500,0
24/03/2022,,,0,57.2,57.2,56.9,-0.30 (-0.52 %),,3439890000,56.9,56.9,60400,0
23/03/2022,,,0,57.2,57.8,56.3,-0.90 (-1.57 %),,6198750000,56.3,56.3,108300,0
22/03/2022,,,0,57.8,57.6,57.2,-0.60 (-1.04 %),,7166470000,57.2,57.2,125200,0
21/03/2022,,,0,58.5,57.8,57.7,-0.80 (-1.37 %),,3383440000,57.7,57.7,58500,0
18/03/2022,,,0,59.4,59.4,57.8,-1.60 (-2.69 %),,4776170000,57.8,57.8,81700,0
17/03/2022,,,0,59.1,59.1,59.0,-0.10 (-0.17 %),,6193730000,59.0,59.0,104200,0
16/03/2022,,,0,57.4,57.8,60.0,2.60 (4.53 %),,5056100000,60.0,60.0,85600,0
15/03/2022,,,0,57.6,57.5,57.5,-0.10 (-0.17 %),,3905800000,57.5,57.5,68000,0
14/03/2022,,,0,58.7,58.4,57.0,-1.70 (-2.90 %),,4448980000,57.0,57.0,77200,0
11/03/2022,,,0,58.4,58.0,58.5,0.10 (0.17 %),,5926350000,58.68,58.5,101000,0
10/03/2022,,,0,57.4,57.4,58.5,1.10 (1.92 %),,5252590000,58.36,58.5,90000,0
09/03/2022,,,0,57.4,57.4,58.0,0.60 (1.05 %),,4187360000,57.36,58.0,73000,0
08/03/2022,,,0,58.7,57.9,57.8,-0.90 (-1.53 %),,6370980000,57.4,57.8,111000,0
07/03/2022,,,0,57.9,57.6,57.9,0.00 (0.00 %),,5081010000,58.67,57.9,86600,0
04/03/2022,,,0,58.7,58.7,57.8,-0.90 (-1.53 %),,3099740000,57.94,57.8,53500,0
03/03/2022,,,0,55.9,55.8,58.0,2.10 (3.76 %),,6181300000,58.7,58.0,105300,0
02/03/2022,,,0,55.5,56.0,57.5,2.00 (3.60 %),,8490950000,55.86,57.5,152000,0
01/03/2022,,,0,56.1,56.1,55.5,-0.60 (-1.07 %),,3347180000,55.51,55.5,60300,0
28/02/2022,,,0,57.0,56.3,56.0,-1.00 (-1.75 %),,3952320000,56.06,56.0,70500,0
25/02/2022,,,0,57.3,56.2,55.6,-1.70 (-2.97 %),,5341680000,57.01,55.6,93700,0
24/02/2022,,,0,58.2,58.0,56.2,-2.00 (-3.44 %),,4637640000,57.33,56.2,80900,0
23/02/2022,,,0,59.4,58.8,58.2,-1.20 (-2.02 %),,2815250000,58.17,58.2,48400,0
22/02/2022,,,0,60.4,59.8,58.8,-1.60 (-2.65 %),,3574240000,59.37,58.8,60200,0
21/02/2022,,,0,57.7,57.8,60.0,2.30 (3.99 %),,8093150000,60.44,60.0,133900,0
18/02/2022,,,0,58.7,57.5,57.7,-1.00 (-1.70 %),,2966770000,57.72,57.7,51400,0
17/02/2022,,,0,58.8,58.3,57.1,-1.70 (-2.89 %),,3950180000,58.7,57.1,67300,0
