,Unnamed: 0,Exchange,LinkCompany,Company,Name,Date First
54,54,hastc,CTM-cong-ty-co-phan-dau-tu-xay-dung-va-khai-thac-mo-vinavico.chn,CTM,Công ty Cổ phần Đầu tư Xây dựng và Khai thác mỏ Vinavico,07/08/2009
55,55,hastc,CTP-cong-ty-co-phan-minh-khang-capital-trading-public.chn,CTP,Công ty Cổ phần Minh Khang Capital Trading Public,28/07/2016
56,56,hastc,CTT-ctcp-che-tao-may-vinacomin.chn,CTT,CTCP Chế tạo máy Vinacomin,17/07/2015
57,57,hastc,CTV-cong-ty-co-phan-dau-tusan-xuat-va-thuong-mai-viet-nam.chn,CTV,Công ty cổ phần Đầu tư-Sản xuất và Thương mại Việt Nam,09/09/2011
58,58,hastc,CTX-tong-cong-ty-co-phan-dau-tu-xay-dung-va-thuong-mai-viet-nam.chn,CTX,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,24/05/2012
59,59,hastc,CVN-cong-ty-co-phan-vinam.chn,CVN,Công ty cổ phần Vinam,06/08/2010
60,60,hastc,CX8-cong-ty-co-phan-dau-tu-va-xay-lap-constrexim-so-8.chn,CX8,Công ty cổ phần Đầu tư và Xây lắp Constrexim số 8,19/05/2010
61,61,hastc,D11-cong-ty-co-phan-dia-oc-11.chn,D11,Công ty Cổ phần Địa ốc 11,25/02/2011
62,62,hastc,DAD-cong-ty-co-phan-dau-tu-va-phat-trien-giao-duc-da-nang.chn,DAD,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,19/08/2009
63,63,hastc,DAE-cong-ty-co-phan-sach-giao-duc-tai-tp-da-nang.chn,DAE,Công ty Cổ phần Sách Giáo dục tại Tp. Đà Nẵng,02/01/2008
64,64,hastc,DC2-cong-ty-co-phan-dau-tu-phat-trien-xay-dung-so-2.chn,DC2,Công ty Cổ phần Đầu tư Phát triển - Xây dựng số 2,02/07/2010
65,65,hastc,DDG-cong-ty-co-phan-dau-tu-cong-nghiep-xuat-nhap-khau-dong-duong.chn,DDG,Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,18/12/2018
66,66,hastc,DGL-ctcp-hoa-chat-duc-giang-lao-cai.chn,DGL,CTCP Hóa chất Đức Giang – Lào Cai ,20/10/2015
67,67,hastc,DHI-cong-ty-co-phan-in-dien-hong.chn,DHI,Công ty cổ phần In Diên Hồng,02/01/2008
68,68,hastc,DHL-cong-ty-co-phan-co-khi-van-tai-thuong-mai-dai-hung.chn,DHL,Công ty cổ phần Cơ khí Vận tải Thương mại Đại Hưng,06/06/2012
69,69,hastc,DHP-cong-ty-co-phan-dien-co-hai-phong.chn,DHP,Công ty Cổ phần Điện Cơ Hải Phòng,21/03/2013
70,70,hastc,DHT-cong-ty-co-phan-duoc-pham-ha-tay.chn,DHT,Công ty Cổ phần Dược phẩm Hà Tây,03/12/2008
71,71,hastc,DIH-cong-ty-co-phan-dau-tu-phat-trien-xay-dung-hoi-an.chn,DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,27/04/2011
72,72,hastc,DL1-ctcp-tap-doan-alpha-seven.chn,DL1,CTCP Tập đoàn Alpha Seven,10/03/2010
73,73,hastc,DNC-cong-ty-co-phan-dien-nuoc-lap-may-hai-phong.chn,DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,23/12/2009
74,74,hastc,DNM-tong-cong-ty-co-phan-y-te-danameco.chn,DNM,Tổng Công ty cổ phần Y tế Danameco,16/02/2011
75,75,hastc,DNP-cong-ty-co-phan-nhua-dong-nai.chn,DNP,Công ty Cổ phần Nhựa Đồng Nai,04/11/2015
76,76,hastc,DP3-cong-ty-co-phan-duoc-pham-trung-uong-3.chn,DP3,Công ty Cổ phần Dược phẩm Trung ương 3,17/07/2015
77,77,hastc,DPC-cong-ty-co-phan-nhua-da-nang.chn,DPC,Công ty Cổ phần Nhựa Đà Nẵng,02/01/2008
78,78,hastc,DS3-cong-ty-co-phan-quan-ly-duong-song-so-3.chn,DS3,Công ty Cổ phần Quản lý Đường sông số 3,21/08/2017
79,79,hastc,DST-cong-ty-co-phan-dau-tu-sao-thang-long.chn,DST,Công ty Cổ phần Đầu tư Sao Thăng Long,02/01/2008
80,80,hastc,DTC-cong-ty-co-phan-viglacera-dong-trieu.chn,DTC,Công ty Cổ phần Viglacera Đông Triều,02/01/2008
81,81,hastc,DTD-cong-ty-co-phan-dau-tu-phat-trien-thanh-dat.chn,DTD,Công ty Cổ phần Đầu tư phát triển Thành Đạt,16/11/2017
82,82,hastc,DTK-tong-cong-ty-dien-luc-tkv-ctcp.chn,DTK,Tổng công ty Điện lực TKV - CTCP ,15/12/2016
83,83,hastc,DVG-cong-ty-co-phan-tap-doan-son-dai-viet.chn,DVG,Công ty Cổ phần Tập đoàn Sơn Đại Việt,14/01/2021
84,84,hastc,DXP-cong-ty-co-phan-cang-doan-xa.chn,DXP,Công ty cổ phần Cảng Đoạn Xá,02/01/2008
